date,value
1991-01-01,91.3629390308101
1991-02-01,82.9208673446026
1991-03-01,88.0818367450893
1991-04-01,95.3246461637252
1991-05-01,96.3561447389359
1991-06-01,91.1267308587187
1991-07-01,94.8996441367015
1991-08-01,94.5055868538052
1991-09-01,96.8715816465516
1991-10-01,100
1991-11-01,92.99463934636
1991-12-01,90.9195879136745
1992-01-01,93.3225285431387
1992-02-01,98.1742285085506
1992-03-01,98.7507765891543
1992-04-01,98.9900307988886
1992-05-01,97.0873127932722
1992-06-01,95.7711844417189
1992-07-01,91.5264932025118
1992-08-01,95.7129544928048
1992-09-01,98.7922375200096
1992-10-01,97.8133177978396
1992-11-01,96.0160126530198
1992-12-01,100.40027642418
1993-01-01,103.172639595659
1993-02-01,104.811391068105
1993-03-01,99.3409552463492
1993-04-01,99.2305300049279
1993-05-01,102.852268918574
1993-06-01,100.851632636484
1993-07-01,103.84080493381
1993-08-01,102.785172620959
1993-09-01,110.308695288436
1993-10-01,112.454598028674
1993-11-01,112.457329288804
1993-12-01,108.849624888472
1994-01-01,105.68063319234
1994-02-01,112.41735757008
1994-03-01,110.236711976841
1994-04-01,105.453477286867
1994-05-01,105.589185707281
1994-06-01,107.283897334856
1994-07-01,103.535980823008
1994-08-01,105.497683716544
1994-09-01,103.230031701103
1994-10-01,98.6969128321595
1994-11-01,98.7969236115358
1994-12-01,99.0704161960355
1995-01-01,93.8955710544135
1995-02-01,92.6279882473397
1995-03-01,90.9669266890309
1995-04-01,93.4460952488809
1995-05-01,102.815860050483
1995-06-01,92.7477678157431
1995-07-01,94.5769976701106
1995-08-01,97.6748466105332
1995-09-01,98.6144188865011
1995-10-01,97.9096330708462
1995-11-01,100.331702236646
1995-12-01,101.894793889548
1996-01-01,101.357109494239
1996-02-01,96.7769312388865
1996-03-01,99.8495716919585
1996-04-01,97.4400117937086
1996-05-01,96.8611370334327
1996-06-01,103.059156685269
1996-07-01,103.673927760001
1996-08-01,100.540394429772
1996-09-01,101.180116809119
1996-10-01,98.9129615515069
1996-11-01,102.979408961122
1996-12-01,99.2015798375502
1997-01-01,103.705068419971
1997-02-01,103.364452977968
1997-03-01,105.889260479505
1997-04-01,104.839608193106
1997-05-01,109.360753900253
1997-06-01,104.900714360666
1997-07-01,107.292903748573
1997-08-01,106.334443860057
1997-09-01,105.185240417797
1997-10-01,111.098795536563
1997-11-01,106.227333845983
1997-12-01,102.623538337147
1998-01-01,102.931849663756
1998-02-01,102.828799413217
1998-03-01,101.552479362386
1998-04-01,100.11379476854
1998-05-01,102.820716043388
1998-06-01,99.781575610663
1998-07-01,102.588093810683
1998-08-01,99.2850108169758
1998-09-01,96.7652360353524
1998-10-01,98.206691739431
1998-11-01,97.1223929682413
1998-12-01,103.191265989499
1999-01-01,99.5609733213311
1999-02-01,99.3241191273082
1999-03-01,96.7900903612326
1999-04-01,101.810430361177
1999-05-01,101.898892719996
1999-06-01,103.916248574119
1999-07-01,102.541443628477
1999-08-01,105.893783361883
1999-09-01,101.932191465097
1999-10-01,104.485347086496
1999-11-01,107.628748698781
1999-12-01,102.572881848608
2000-01-01,103.344426570793
2000-02-01,99.5785309471396
2000-03-01,106.19235793331
2000-04-01,103.538756248784
2000-05-01,101.297213550104
2000-06-01,101.409115243548
2000-07-01,99.9188838463854
2000-08-01,101.075606700524
2000-09-01,102.645567862122
2000-10-01,100.969674947554
2000-11-01,102.201874830895
2000-12-01,101.366357555289
2001-01-01,101.305461862498
2001-02-01,95.3582214670569
2001-03-01,95.1391303740627
2001-04-01,95.0870584236655
2001-05-01,91.8209745085212
2001-06-01,97.0399789706966
2001-07-01,94.9563020177922
2001-08-01,95.904736006567
2001-09-01,94.1224294000722
2001-10-01,85.8733232328201
2001-11-01,83.8929593554835
2001-12-01,89.1673580992656
2002-01-01,94.3082940185003
2002-02-01,100.19793537042
2002-03-01,99.2109794422715
2002-04-01,100.016509513174
2002-05-01,103.053602697645
2002-06-01,98.828707635422
2002-07-01,93.6917393970794
2002-08-01,91.6663422925486
2002-09-01,91.1756683770062
2002-10-01,94.9755732392694
2002-11-01,98.0173671017588
2002-12-01,98.2757262258807
2003-01-01,97.7325761036404
2003-02-01,93.129312767757
2003-03-01,93.4418442840092
2003-04-01,92.4250987625963
2003-05-01,96.1310503056297
2003-06-01,96.1689934772377
2003-07-01,102.76790781696
2003-08-01,102.156474800721
2003-09-01,101.875465793799
2003-10-01,104.56794017775
2003-11-01,104.528684947276
2003-12-01,105.48398471668
2004-01-01,104.10740555176
2004-02-01,104.192471244544
2004-03-01,106.166165514609
2004-04-01,104.856732642457
2004-05-01,105.678770312422
2004-06-01,101.927180779025
2004-07-01,104.116951443154
2004-08-01,102.063197075668
2004-09-01,101.890084052996
2004-10-01,103.796281245552
2004-11-01,99.6501853162214
2004-12-01,100.704067535574
2005-01-01,99.3161676142508
2005-02-01,101.154891204554
2005-03-01,101.115385940337
2005-04-01,102.383426569915
2005-05-01,101.032166932573
2005-06-01,101.37626310317
2005-07-01,102.215222951024
2005-08-01,103.398419243318
2005-09-01,106.293514117084
2005-10-01,105.156063635676
2005-11-01,103.720610761916
2005-12-01,103.596420442432
2006-01-01,105.328912167735
2006-02-01,103.531359985121
2006-03-01,105.924172760358
2006-04-01,104.748843026213
2006-05-01,102.892261600949
2006-06-01,105.10710746505
2006-07-01,102.564013481221
2006-08-01,103.616958071065
2006-09-01,101.932977125076
2006-10-01,102.578803863412
2006-11-01,102.410412160858
2006-12-01,104.81151357965
2007-01-01,104.003617990005
2007-02-01,98.8733908896901
